rank	score	R0	R14	R7	A_s27	B_s27	C_s9	D_open	blanks	penalty
1	3884	geschenkcheques	bouwcuratrixjes	playoffticketje	1724	1616	518	116	2	90
2	3873	geschenkcheques	bouwcuratrixjes	playbackstertje	1724	1616	509	114	2	90
3	3864	geschenkcheques	bouwcuratrixjes	playbackragetje	1724	1616	500	114	2	90
4	3864	geschenkcheques	bouwcuratrixjes	bodypackstertje	1724	1616	500	114	2	90
5	3862	geschenkcheques	bouwcuratrixjes	bodystockinkjes	1724	1616	500	112	2	90
6	3860	geschenkcheques	bouwcuratrixjes	kermiscomedytje	1724	1616	500	110	2	90
7	3857	geschenkcheques	bouwcuratrixjes	designcowboytje	1724	1616	491	116	2	90
8	3857	geschenkcheques	bouwcuratrixjes	adviescowboytje	1724	1616	491	116	2	90
9	3855	geschenkcheques	bouwcuratrixjes	telecomsavvyste	1724	1616	491	114	2	90
10	3853	geschenkcheques	bouwcuratrixjes	telecomsavvyers	1724	1616	491	112	2	90
11	3853	geschenkcheques	polymelkzuurtje	flexwerkstertje	1724	1508	509	112	0	0
12	3853	geschenkcheques	papyruszuiltjes	flexwerkstertje	1724	1508	509	112	0	0
13	3852	chequeformulier	vluchtreflexjes	babyzwemmertjes	1643	1562	527	120	0	0
14	3851	geschenkcheques	bouwcuratrixjes	laryngoscoopjes	1724	1616	491	110	2	90
15	3849	geschenkcheques	bouwcuratrixjes	citytrippertjes	1724	1616	491	108	2	90
16	3849	bouwcuratrixjes	lewylichaampjes	verzamelcheques	1616	1562	590	126	1	45
17	3845	geschenkcheques	bouwcuratrixjes	polyestersector	1724	1616	491	104	2	90
18	3844	geschenkcheques	bouwcuratrixjes	telecomsavvyere	1724	1616	482	112	2	90
19	3843	geschenkcheques	woestijnlynxjes	bouwvakkersfuif	1724	1508	509	102	0	0
20	3841	chequeformulier	vluchtreflexjes	babyzwemstertje	1643	1562	518	118	0	0
21	3836	chequeformulier	babyglimlachjes	keuzeparadoxjes	1643	1589	500	104	0	0
22	3835	chequeformulier	babyzwemmertjes	vluchtreflexjes	1643	1481	599	112	0	0
23	3835	geschenkcheques	babyzwemmertjes	vluchtreflexjes	1724	1481	599	112	2	81
24	3831	geschenkcheques	polymelkzuurtje	flexowritertjes	1724	1508	491	108	0	0
25	3831	geschenkcheques	papyruszuiltjes	flexowritertjes	1724	1508	491	108	0	0
26	3826	chequeformulier	babyglimlachjes	flexwerkstertje	1643	1589	509	112	1	27
27	3826	geschenkcheques	babyzwemmertjes	flexwerkstertje	1724	1481	509	112	0	0
28	3825	geschenkcheques	polymelkzuurtje	wolframtrioxide	1724	1508	491	102	0	0
29	3825	geschenkcheques	papyruszuiltjes	wolframtrioxide	1724	1508	491	102	0	0
30	3825	geschenkcheques	bouwcuratrixjes	babyzwemmertjes	1724	1616	527	120	2	162
31	3824	geschenkcheques	papyruszuiltjes	flexflitsertjes	1724	1508	500	110	1	18
32	3824	geschenkcheques	bouwcuratrixjes	bowlingalleytje	1724	1616	509	110	1	135
33	3822	flauwekulexcuus	babyzwemmertjes	verzamelcheques	1697	1481	590	126	2	72
34	3821	bouwcuratrixjes	wetenschapsquiz	enzymvorminkjes	1616	1589	500	116	0	0
35	3821	chequeformulier	vluchtreflexjes	enzymvorminkjes	1643	1562	500	116	0	0
36	3821	geschenkcheques	bouwcuratrixjes	enzymvorminkjes	1724	1616	500	116	1	135
37	3816	geschenkcheques	proxyservertjes	buffalowurmpjes	1724	1481	509	102	0	0
38	3816	geschenkcheques	proxyservertjes	bouwvakkersfuif	1724	1481	509	102	0	0
39	3815	geschenkcheques	bouwcuratrixjes	lymfweefseltjes	1724	1616	500	110	1	135
40	3815	geschenkcheques	babyzwemmertjes	flexflitsertjes	1724	1481	500	110	0	0
41	3815	geschenkcheques	polymelkzuurtje	flexflitsertjes	1724	1508	500	110	1	27
42	3814	geschenkcheques	bouwcuratrixjes	babyzwemstertje	1724	1616	518	118	2	162
43	3814	bouwcuratrixjes	wetenschapsquiz	playbackshowtje	1616	1589	581	118	2	90
44	3814	bouwcuratrixjes	craqueleachtigs	playbackshowtje	1616	1589	581	118	2	90
45	3812	chequeformulier	bouwcuratrixjes	polysulfidetjes	1643	1616	509	116	2	72
46	3812	chequeformulier	bouwcuratrixjes	bodypumpstertje	1643	1616	509	116	2	72
47	3811	geschenkcheques	proxyservertjes	zwaluwluisvlieg	1724	1481	500	106	0	0
48	3811	bouwcuratrixjes	wetenschapsquiz	polyestervezels	1616	1589	500	106	0	0
49	3811	bouwcuratrixjes	chequebedragjes	polyestervezels	1616	1589	500	106	0	0
50	3811	geschenkcheques	bouwcuratrixjes	polyestervezels	1724	1616	500	106	1	135
51	3811	geschenkcheques	babyzwemmertjes	bouwcuratrixjes	1724	1481	572	106	2	72
52	3810	bouwcuratrixjes	wetenschapsquiz	babyglimlachjes	1616	1589	563	114	2	72
53	3809	chequeformulier	lewylichaampjes	keuzeparadoxjes	1643	1562	500	104	0	0
54	3809	geschenkcheques	babyzwemmertjes	keuzeparadoxjes	1724	1481	500	104	0	0
55	3809	geschenkcheques	proxyservertjes	fluweelwormpjes	1724	1481	500	104	0	0
56	3809	chequeformulier	bouwcuratrixjes	hyperzelfbewust	1643	1616	518	104	2	72
57	3808	bouwcuratrixjes	wetenschapsquiz	herstelrallytje	1616	1589	491	112	0	0
58	3808	geschenkcheques	babyparfummetje	vluchtreflexjes	1724	1454	599	112	2	81
59	3807	geschenkcheques	woestijnlynxjes	buffalowurmpjes	1724	1508	509	102	1	36
60	3807	geschenkcheques	polymelkzuurtje	babyzwemmertjes	1724	1508	527	120	1	72
61	3807	geschenkcheques	papyruszuiltjes	babyzwemmertjes	1724	1508	527	120	1	72
62	3806	chequeformulier	lewylichaampjes	bauxietweggetje	1643	1562	491	110	0	0
63	3806	chequeformulier	babyglimlachjes	bauxietweggetje	1643	1589	491	110	1	27
64	3806	jacquardmachine	bouwcuratrixjes	polyglottischen	1643	1616	527	110	2	90
65	3805	chequeformulier	babyglimlachjes	proxyservertjes	1643	1589	527	118	1	72
66	3805	geschenkcheques	polymelkzuurtje	proxyservertjes	1724	1508	527	118	1	72
67	3805	chequeformulier	bouwcuratrixjes	playbackshowtje	1643	1616	581	118	2	153
68	3804	bouwcuratrixjes	cliquetsystemen	showbizzvlogger	1616	1589	491	108	0	0
69	3804	bouwcuratrixjes	wetenschapsquiz	polykristallijn	1616	1589	491	108	0	0
70	3804	geschenkcheques	bouwcuratrixjes	polykristallijn	1724	1616	491	108	1	135
71	3804	geschenkcheques	babyzwemmertjes	klapkauwgumpjes	1724	1481	491	108	0	0
72	3804	geschenkcheques	proxyservertjes	kauwgumafzetjes	1724	1481	491	108	0	0
73	3804	geschenkcheques	babyzwemmertjes	kauwgumafzetjes	1724	1481	491	108	0	0
74	3804	chequeformulier	babyglimlachjes	flexowritertjes	1643	1589	491	108	1	27
75	3804	geschenkcheques	babyzwemmertjes	flexowritertjes	1724	1481	491	108	0	0
76	3804	geschenkcheques	polymelkzuurtje	flexijobbertjes	1724	1508	500	108	1	36
77	3804	geschenkcheques	papyruszuiltjes	flexijobbertjes	1724	1508	500	108	1	36
78	3803	geschenkcheques	proxyservertjes	zwaluwenvleugel	1724	1481	500	98	0	0
79	3803	geschenkcheques	woestijnlynxjes	polydruggebruik	1724	1508	527	116	1	72
80	3802	geschenkcheques	babyzwemmertjes	inauguratrixjes	1724	1481	491	106	0	0
81	3802	chequeformulier	babyglimlachjes	speculaasmixjes	1643	1589	536	106	2	72
82	3802	bouwcuratrixjes	wetenschapsquiz	polyhybridetjes	1616	1589	545	124	1	72
83	3802	chequeformulier	lewylichaampjes	bouwcuratrixjes	1643	1562	572	106	2	81
84	3801	bouwcuratrixjes	wetenschapsquiz	enzymremmertjes	1616	1589	482	114	0	0
85	3801	geschenkcheques	bouwcuratrixjes	enzymremmertjes	1724	1616	482	114	1	135
86	3801	geschenkcheques	polymelkzuurtje	woordcomplexjes	1724	1508	500	114	1	45
87	3801	geschenkcheques	polymelkzuurtje	vadercomplexjes	1724	1508	500	114	1	45
88	3801	bouwcuratrixjes	lewylichaampjes	marqueteriezaag	1616	1562	509	114	0	0
89	3801	bouwcuratrixjes	wetenschapsquiz	lymflichaampjes	1616	1589	527	114	1	45
90	3800	geschenkcheques	proxyservertjes	kauwwerktuigjes	1724	1481	491	104	0	0
91	3800	geschenkcheques	proxyservertjes	duivelsklauwtje	1724	1481	491	104	0	0
92	3800	geschenkcheques	babyzwemmertjes	duivelsklauwtje	1724	1481	491	104	0	0
93	3800	geschenkcheques	polymelkzuurtje	keuzeparadoxjes	1724	1508	500	104	1	36
94	3799	bouwcuratrixjes	wetenschapsquiz	gefyrofobietjes	1616	1589	482	112	0	0
95	3799	geschenkcheques	bouwcuratrixjes	gefyrofobietjes	1724	1616	482	112	1	135
96	3799	babyglimlachjes	wetenschapsquiz	flexwerkstertje	1589	1589	509	112	0	0
97	3799	chequeformulier	lewylichaampjes	flexwerkstertje	1643	1562	509	112	1	27
98	3799	geschenkcheques	vrouwtjesguppys	flexwerkstertje	1724	1454	509	112	0	0
99	3799	geschenkcheques	babyparfummetje	flexwerkstertje	1724	1454	509	112	0	0
100	3799	flauwekulexcuus	babyzwemmertjes	maaltijdcheques	1697	1481	563	130	2	72
101	3799	bouwcuratrixjes	wetenschapsquiz	mytylschooltjes	1616	1589	581	130	2	117
102	3798	chequeformulier	babyglimlachjes	wolframtrioxide	1643	1589	491	102	1	27
103	3798	geschenkcheques	publieksjurytje	wolframtrioxide	1724	1481	491	102	0	0
104	3798	geschenkcheques	babyzwemmertjes	wolframtrioxide	1724	1481	491	102	0	0
105	3798	geschenkcheques	woestijnlynxjes	zelfhulpnetwerk	1724	1508	500	102	1	36
106	3798	bouwcuratrixjes	lewylichaampjes	plaquevormingen	1616	1562	500	120	0	0
107	3798	wetenschapsquiz	vluchtreflexjes	babyzwemmertjes	1589	1562	527	120	0	0
108	3798	bouwcuratrixjes	chequebedragjes	lewylichaampjes	1616	1589	554	120	2	81
109	3798	bouwcuratrixjes	lewylichaampjes	chequeformulier	1616	1562	581	120	2	81
110	3797	geschenkcheques	polymelkzuurtje	bauxietweggetje	1724	1508	491	110	1	36
111	3797	geschenkcheques	papyruszuiltjes	bauxietweggetje	1724	1508	491	110	1	36
112	3797	bouwcuratrixjes	wetenschapsquiz	polyglottischen	1616	1589	527	110	1	45
113	3797	bouwcuratrixjes	chequebedragjes	polyglottischen	1616	1589	527	110	1	45
114	3797	bouwcuratrixjes	lewylichaampjes	vormingscheques	1616	1562	536	128	1	45
115	3797	chequeformulier	vluchtreflexjes	webcommunitytje	1643	1562	563	110	2	81
116	3796	geschenkcheques	polymelkzuurtje	benzoylperoxide	1724	1508	518	118	1	72
117	3796	geschenkcheques	polymelkzuurtje	babyzwemstertje	1724	1508	518	118	1	72
118	3796	geschenkcheques	papyruszuiltjes	babyzwemstertje	1724	1508	518	118	1	72
119	3796	geschenkcheques	buffalowurmpjes	proxyservertjes	1724	1427	527	118	0	0
120	3796	geschenkcheques	bouwvakkersfuif	proxyservertjes	1724	1427	527	118	0	0
121	3795	geschenkcheques	woestijnlynxjes	showbizzvlogger	1724	1508	491	108	1	36
122	3795	geschenkcheques	woestijnlynxjes	klapkauwgumpjes	1724	1508	491	108	1	36
123	3795	chequeformulier	babyglimlachjes	kauwgumafzetjes	1643	1589	491	108	1	36
124	3795	geschenkcheques	woestijnlynxjes	kauwgumafzetjes	1724	1508	491	108	1	36
125	3795	chequeformulier	babyglimlachjes	supportersexces	1643	1589	500	108	1	45
126	3795	chequeformulier	bouwcuratrixjes	bouwsysteempjes	1643	1616	500	108	2	72
127	3795	geschenkcheques	proxyservertjes	kauwgummiwikkel	1724	1481	509	108	1	27
128	3795	bouwcuratrixjes	lewylichaampjes	voordeelcheques	1616	1562	536	126	1	45
129	3795	bouwcuratrixjes	playbackshowtje	verzamelcheques	1616	1508	590	126	1	45
130	3795	bouwcuratrixjes	babyglimlachjes	verzamelcheques	1616	1589	590	126	2	126
131	3794	bouwcuratrixjes	wetenschapsquiz	polysulfidetjes	1616	1589	509	116	1	36
132	3794	geschenkcheques	bouwcuratrixjes	polysulfidetjes	1724	1616	509	116	2	171
133	3794	chequeformulier	vluchtreflexjes	bodypumpstertje	1643	1562	509	116	1	36
134	3794	geschenkcheques	bouwcuratrixjes	bodypumpstertje	1724	1616	509	116	2	171
135	3794	bouwcuratrixjes	wetenschapsquiz	playoffticketje	1616	1589	518	116	1	45
136	3793	chequeformulier	babyglimlachjes	inauguratrixjes	1643	1589	491	106	1	36
137	3793	chequeformulier	bouwcuratrixjes	vervolghuwelijk	1643	1616	500	106	2	72
138	3793	geschenkcheques	buxusbedrijfjes	polyestervezels	1724	1481	500	106	1	18
139	3793	geschenkcheques	woestijnlynxjes	kauwgummisector	1724	1508	500	106	1	45
140	3793	geschenkcheques	polymelkzuurtje	speculaasmixjes	1724	1508	536	106	2	81
141	3793	bouwcuratrixjes	wetenschapsquiz	polymyalgietjes	1616	1589	536	124	1	72
142	3793	geschenkcheques	bouwcuratrixjes	polymyalgietjes	1724	1616	536	124	2	207
143	3792	geschenkcheques	polymelkzuurtje	zakencomplexjes	1724	1508	491	114	1	45
144	3792	chequeformulier	vluchtreflexjes	babywenkbrauwen	1643	1562	536	114	2	63
145	3791	geschenkcheques	woestijnlynxjes	zwampzuurzakken	1724	1508	491	104	1	36
146	3791	geschenkcheques	woestijnlynxjes	showbizzfiguren	1724	1508	491	104	1	36
147	3791	chequeformulier	babyglimlachjes	kauwwerktuigjes	1643	1589	491	104	1	36
148	3791	geschenkcheques	woestijnlynxjes	duivelsklauwtje	1724	1508	491	104	1	36
149	3791	jacquardmachine	bouwcuratrixjes	lymfklierachtig	1643	1616	518	104	2	90
150	3791	bouwcuratrixjes	lewylichaampjes	verrekencheques	1616	1562	536	122	1	45
151	3791	bouwcuratrixjes	wetenschapsquiz	polyhydridetjes	1616	1589	536	122	1	72
152	3791	bouwcuratrixjes	lewylichaampjes	loopbaancheques	1616	1562	536	122	1	45
153	3790	bouwcuratrixjes	wetenschapsquiz	babygiraffetjes	1616	1589	500	112	1	27
154	3790	geschenkcheques	bouwcuratrixjes	babygiraffetjes	1724	1616	500	112	2	162
155	3790	geschenkcheques	publieksjurytje	flexwerkstertje	1724	1481	509	112	1	36
