# N=13 left-block {0..6} candidate ranking  (optimistic total = main + vert)
# WM=9 wm0=[3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3] lm0=[1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1]
# opt_total   main   vert  word
        853    563    290  polycyclische
        824    536    288  cyclothymisch
        822    536    286  psycholyticum
        822    536    286  psychofysisch
        819    527    292  polyfyletisch
        816    536    280  croquembouche
        814    527    287  psycholytisch
        804    518    286  excuuscultuur
        803    509    294  playboyachtig
        802    518    284  chequegebruik
        798    509    289  bicyclekickje
        797    509    288  jacquetjasjes
        797    500    297  babygymmetjes
        796    518    278  exequaturtjes
        796    509    287  visquotumpjes
        791    518    273  lunchchequeje
        789    491    298  butyraldehyde
        787    500    287  dyscalculisch
        787    500    287  dyscalculicus
        786    500    286  croquetveldje
        786    500    286  craqueluretje
        786    500    286  chequeboekjes
        785    509    276  cultuurcheque
        784    491    293  syncytiumpjes
        784    491    293  psychotypetje
        784    491    293  psychofysieks
        781    482    299  babypartytjes
        780    491    289  truqueusetjes
        779    500    279  cultuurquizje
        779    491    288  vruchtschubje
        778    491    287  polytechnicum
        778    491    287  playbackshows
        778    491    287  chequekoersje
        778    491    287  babygewichtje
        777    491    286  glycolzuurtje
        777    482    295  schuldcultuur
        776    482    294  psychofysieke
        775    482    293  hyperthymisch
        774    500    274  zichtchequeje
        774    482    292  fenylzuurtjes
        774    482    292  babyparfumpje
        773    491    282  bouwfysicusje
        773    482    291  carbocyclisch
        773    473    300  playboygedrag
        772    491    281  lynxenwelpjes
        772    482    290  plaquevormigs
        772    482    290  flexkrachtjes
        772    482    290  cyclostyletje
        772    482    290  copyrightvrij
        772    482    290  chrysanthemum
        772    482    290  babywenkbrauw
        772    482    290  babygezichtje
        771    482    289  hexyleenoxide
        771    482    289  excuusguusjes
        771    473    298  truckaccuutje
        770    482    288  polytechnisch
        770    482    288  polychronisch
        770    482    288  jacquetjassen
        770    482    288  donquichotjes
        770    482    288  croquethamers
        770    482    288  calquelintjes
        770    473    297  bouwsculptuur
        769    482    287  puppycursusje
        769    482    287  mixcultuurtje
        769    482    287  hockeychickje
        769    482    287  cyclusachtigs
        768    473    295  psychohygiene
        767    482    285  hydroxylgroep
        767    482    285  circumflexjes
        767    473    294  hypothymische
        766    482    284  schuldcomplex
        766    482    284  ijshockeyclub
        766    482    284  gymjuffrouwen
        766    473    293  onychomycoses
        766    473    293  juryverslagje
        766    473    293  babyparfumtje
        766    464    302  polypropyleen
        765    464    301  karyotypetjes
        765    464    301  karyolysetjes
        764    473    291  ubiquitistjes
        764    473    291  ubiquistetjes
        764    473    291  polychromeurs
        764    473    291  plaquevorming
        764    473    291  plaquevormige
        764    473    291  jonquilletjes
        764    473    291  ithyfallische
        764    473    291  babyzwijntjes
        764    473    291  babyproductje
        764    473    291  acrylvezeltje
        763    482    281  quicheachtigs
        763    473    290  excuustruusje
        763    473    290  dyscalculicas
        762    482    280  geexpliqueerd
        762    473    289  yuppiecultuur
        762    473    289  stafylococcus
        762    473    289  securitycheck
        762    473    289  polycarpische
        762    473    289  luchtschuifje
        762    473    289  luchtschijfje
        762    473    289  juffrouwschap
        762    473    289  croquetvelden
        762    473    289  croquetspeler
        762    473    289  croquetballen
        762    473    289  buffelyoghurt
        762    464    298  polyacetyleen
        761    473    288  cyclusachtige
        760    473    287  yoghurtcupjes
        760    473    287  methacrylzuur
        760    464    296  psychanalyses
        760    464    296  onycholysetje
        759    473    286  stuwcomplexje
        759    473    286  psychoticusje
        759    473    286  psychologisch
        759    473    286  psychedelicum
        759    473    286  fuckbuddytjes
        759    473    286  concertcheque
        759    464    295  vluchtuurtjes
        759    464    295  vluchtheuvels
        758    482    276  huurchequejes
        758    464    294  polythionzuur
        758    464    294  luchtmolecuul
        758    464    294  jurytafeltjes
        758    464    294  ijsyoghurtjes
        758    464    294  flexbedrijfje
        758    464    294  cumuluswolkje
        757    482    275  hyperluxueuze
        757    473    284  jockeyclubjes
        757    473    284  hockeyclubjes
        757    464    293  vluchtschotje
        757    464    293  onychomycosen
        757    464    293  hulpvluchtjes
        756    473    283  whiskyclubjes
        756    473    283  onyxachtigste
        756    473    283  onyxachtigers
        756    464    292  polyglottisch
        756    464    292  polychromeuse
        756    464    292  playoffticket
        756    464    292  plaquettetjes
        756    464    292  myriofyllisch
        756    464    292  cyclostyleert
        756    464    292  babywalvisjes
        756    464    292  babybroccolis
        756    455    301  subcultuurtje
        756    455    301  polymyalgieen
        756    455    301  polyethylenen
        755    473    282  quicheachtige
        755    464    291  dyscalculicae
        755    464    291  circuscomedys
        755    455    300  schuurmuurtje
        755    455    300  cancelcultuur
        754    464    290  recyclagetjes
        754    464    290  recyclagepark
        754    464    290  polycentrisch
        754    464    290  luchtwachtjes
        754    464    290  croquetspelen
        754    464    290  croquemadames
        754    464    290  coequipiertje
        754    464    290  chequekoersen
        754    464    290  babygewichten
        753    464    289  puppyeffectje
        753    464    289  hockeycoachje
        753    455    298  vruchthulsels
        753    455    298  vluchtpijpjes
        753    455    298  vluchtkuiltje
        753    455    298  schuuruitbouw
        753    455    298  kluchtfilmpje
        753    455    298  burchtmuurtje
        752    464    288  grizzlywelpje
        752    464    288  cervixruptuur
        752    455    297  psychoanalyse
        752    455    297  psychanalysen
        751    464    287  psychomedisch
        751    464    287  psychedelisch
        751    455    296  vluchtzijtjes
        751    455    296  vluchtschemas
        751    455    296  vluchthuisjes
        751    455    296  lunchbuffetje
        751    455    296  ketchupchipje
        751    455    296  hofcultuurtje
        751    455    296  hechtschijfje
        751    455    296  buschauffeurs
        750    464    286  tachygrafisch
        750    464    286  proxyoorlogje
        750    464    286  profylacticum
        750    464    286  nachtclubtype
        750    455    295  snuffelvlucht
        750    455    295  schulpstuwtje
        750    455    295  schuifpuzzels
        750    455    295  polymelkzuren
        750    455    295  papyruszuilen
        750    455    295  kuchschermpje
        750    455    295  juryrapportje
        750    455    295  jurykamertjes
        750    455    295  fluxmetertjes
        750    455    295  flexifuelauto
        750    455    295  bodypumpertje
        750    455    295  babyverlofjes
        750    455    295  babymenuutjes
        749    473    276  quickanddirty
        749    473    276  chalcedonyxje
        749    464    285  wallabywijfje
        749    464    285  rugbycoachjes
        749    464    285  quickpilletje
        749    455    294  vruchtenpunch
        749    455    294  tyltylscholen
        749    455    294  hydrolytische
        749    455    294  chuchubietjes
        749    446    303  humuszuurtjes
        748    473    275  textielcyclus
        748    464    284  onyxachtigere
        748    464    284  flutexcuusjes
        748    464    284  ferryvluchtje
        748    464    284  excuusvrouwen
        748    455    293  zwavelluchtje
        748    455    293  visquotaatjes
        748    455    293  vechthuwelijk
        748    455    293  schutvlechtje
        748    455    293  polyanthischt
        748    455    293  playbackertje
        748    455    293  papyrologisch
        748    455    293  luchtvrachtje
        748    455    293  labyrintvocht
        748    455    293  flexwerkertje
        748    455    293  enzymdefectje
        748    455    293  cyclostyleren
        748    455    293  cityhoppertje
        748    455    293  bouquinisteje
        748    455    293  bouquetromans
        748    455    293  bisyllabische
        748    455    293  barquettetjes
        748    455    293  babyzwemsters
        748    455    293  babyshowertje
        748    455    293  babygezichten
        748    446    302  polyembryonie
        747    464    283  cowboygezicht
        747    464    283  colloquiumpje
        747    446    301  vervolgvlucht
        747    446    301  cricketclubje
        747    446    301  circustrucjes
        747    446    301  circusaffiche
        746    455    291  schuifgewicht
        746    455    291  hypocycloides
        746    455    291  cybersecurity
        746    455    291  copywritertje
        746    455    291  copycatgedrag
        746    455    291  citywinkeltje
        746    455    291  accuzuurweger
        746    446    300  weduwvrouwtje
        746    446    300  uitwuiffuifje
        745    455    290  vruchtenmixje
        745    455    290  volleybalclub
        745    455    290  hockeycircuit
        745    455    290  hockeychickie
        745    455    290  cyclopischers
        745    455    290  cycloopachtig
        745    455    290  cyclometrisch
        745    446    299  zapcultuurtje
