# 23715 unieke onbesliste keys over 3 maskers (0 in ledger)
# masker (0, 3, 7, 9, 11, 13, 14): 2984 keys
  1000/2984 (1.3/s, ~0.4h) und=0
  2000/2984 (1.3/s, ~0.2h) und=0
# masker (0, 3, 7, 9, 11, 13, 14) KLAAR: undecided=0
# masker (0, 3, 7, 8, 11, 13, 14): 9416 keys
  1000/9416 (2.8/s, ~0.8h) und=0
  2000/9416 (3.1/s, ~0.7h) und=0
  3000/9416 (3.2/s, ~0.6h) und=0
  4000/9416 (3.3/s, ~0.5h) und=0
  5000/9416 (3.3/s, ~0.4h) und=0
  6000/9416 (3.3/s, ~0.3h) und=0
  7000/9416 (3.3/s, ~0.2h) und=0
  8000/9416 (3.4/s, ~0.1h) und=0
  9000/9416 (3.4/s, ~0.0h) und=0
# masker (0, 3, 7, 8, 11, 13, 14) KLAAR: undecided=0
# masker (0, 3, 7, 9, 11, 12, 14): 11315 keys
  1000/11315 (1.0/s, ~2.9h) und=0
  2000/11315 (1.0/s, ~2.5h) und=0
  3000/11315 (1.0/s, ~2.3h) und=0
  4000/11315 (1.0/s, ~2.0h) und=0
  5000/11315 (1.0/s, ~1.7h) und=0
  6000/11315 (1.0/s, ~1.4h) und=0
  7000/11315 (1.0/s, ~1.2h) und=0
  8000/11315 (1.0/s, ~0.9h) und=0
  9000/11315 (1.0/s, ~0.6h) und=0
  10000/11315 (1.0/s, ~0.4h) und=0
  11000/11315 (1.0/s, ~0.1h) und=0
# masker (0, 3, 7, 9, 11, 12, 14) KLAAR: undecided=0
FINALE-RESIDU KLAAR
