# [v2] word=geschenkcheques mask=(0, 3, 7, 8, 11, 13, 14) LB=2010 reserve=1 cap=1200.0 workers=20
# [v2] mask (0, 3, 7, 8, 11, 13, 14) main_const=1724 vfloor=286 (LB=2010)
# enumerating BLANK-AWARE band (nominal - deficit > 286) ...
    [enum] 50M nodes, 3007998 in band
# 3063175 combos in band (capped=False), collected 3063175; enum 517s; 0 already in ledger
# ledger: 0 UNSAT, 0 SAT, 0 UNKNOWN, 0 ERROR already; 3063175 to test
# engine=pinbatch base=/home/bob/programming/scrabble4/experiments/results/oracle_parallel/base_0_3_7_8_11_13_14.txt PINWALL=5s audit=1/1000
  ... 200/3063175 tested (15.78/s, ~53.9h left); undecided=0
  ... 400/3063175 tested (31.54/s, ~27.0h left); undecided=0
  ... 600/3063175 tested (47.26/s, ~18.0h left); undecided=0
  ... 800/3063175 tested (62.96/s, ~13.5h left); undecided=0
  ... 1000/3063175 tested (72.93/s, ~11.7h left); undecided=0
  ... 1200/3063175 tested (87.43/s, ~9.7h left); undecided=0
  ... 1400/3063175 tested (101.91/s, ~8.3h left); undecided=0
  ... 1600/3063175 tested (116.36/s, ~7.3h left); undecided=0
  ... 1800/3063175 tested (130.81/s, ~6.5h left); undecided=0
  ... 2000/3063175 tested (142.28/s, ~6.0h left); undecided=0
  ... 2200/3063175 tested (156.39/s, ~5.4h left); undecided=0
  ... 2400/3063175 tested (170.51/s, ~5.0h left); undecided=0
  ... 2600/3063175 tested (184.63/s, ~4.6h left); undecided=0
  ... 2800/3063175 tested (198.76/s, ~4.3h left); undecided=0
  ... 3000/3063175 tested (212.88/s, ~4.0h left); undecided=0
  ... 3200/3063175 tested (227.00/s, ~3.7h left); undecided=0
  ... 3400/3063175 tested (241.09/s, ~3.5h left); undecided=0
  ... 3600/3063175 tested (255.23/s, ~3.3h left); undecided=0
  ... 3800/3063175 tested (269.32/s, ~3.2h left); undecided=0
  ... 4000/3063175 tested (283.45/s, ~3.0h left); undecided=0
  ... 4200/3063175 tested (297.56/s, ~2.9h left); undecided=0
  ... 4400/3063175 tested (311.69/s, ~2.7h left); undecided=0
  ... 4600/3063175 tested (325.70/s, ~2.6h left); undecided=0
  ... 4800/3063175 tested (339.83/s, ~2.5h left); undecided=0
