# [v2] word=geschenkcheques mask=(0, 3, 7, 9, 11, 12, 14) LB=2010 reserve=1 cap=1200.0 workers=20
# [v2] mask (0, 3, 7, 9, 11, 12, 14) main_const=1724 vfloor=286 (LB=2010)
# enumerating BLANK-AWARE band (nominal - deficit > 286) ...
    [enum] 50M nodes, 1003521 in band
    [enum] 100M nodes, 4907503 in band
    [enum] 150M nodes, 6576283 in band
# 6706022 combos in band (capped=False), collected 6706022; enum 2723s; 0 already in ledger
# ledger: 0 UNSAT, 0 SAT, 0 UNKNOWN, 0 ERROR already; 6706022 to test
  ... 200/6706022 tested (4.33/s, ~429.9h left); undecided=0
  ... 400/6706022 tested (5.64/s, ~330.3h left); undecided=0
  ... 600/6706022 tested (6.62/s, ~281.2h left); undecided=0
  ... 800/6706022 tested (7.29/s, ~255.5h left); undecided=0
  ... 1000/6706022 tested (7.22/s, ~257.8h left); undecided=0
  ... 1200/6706022 tested (7.43/s, ~250.6h left); undecided=0
  ... 1400/6706022 tested (8.03/s, ~232.0h left); undecided=0
  ... 1600/6706022 tested (8.52/s, ~218.5h left); undecided=0
  ... 1800/6706022 tested (8.92/s, ~208.8h left); undecided=0
  ... 2000/6706022 tested (9.16/s, ~203.2h left); undecided=0
  ... 2200/6706022 tested (9.34/s, ~199.4h left); undecided=0
  ... 2400/6706022 tested (9.35/s, ~199.2h left); undecided=0
  ... 2600/6706022 tested (9.07/s, ~205.3h left); undecided=0
  ... 2800/6706022 tested (8.83/s, ~211.0h left); undecided=0
  ... 3000/6706022 tested (8.88/s, ~209.8h left); undecided=0
  ... 3200/6706022 tested (8.92/s, ~208.6h left); undecided=0
  ... 3400/6706022 tested (8.96/s, ~207.7h left); undecided=0
  ... 3600/6706022 tested (9.02/s, ~206.3h left); undecided=0
  ... 3800/6706022 tested (9.05/s, ~205.7h left); undecided=0
  ... 4000/6706022 tested (9.01/s, ~206.6h left); undecided=0
  ... 4200/6706022 tested (9.06/s, ~205.5h left); undecided=0
  ... 4400/6706022 tested (9.11/s, ~204.4h left); undecided=0
  ... 4600/6706022 tested (9.25/s, ~201.1h left); undecided=0
  ... 4800/6706022 tested (9.31/s, ~200.0h left); undecided=0
  ... 5000/6706022 tested (9.25/s, ~201.3h left); undecided=0
  ... 5200/6706022 tested (9.22/s, ~201.8h left); undecided=0
  ... 5400/6706022 tested (9.26/s, ~201.1h left); undecided=0
  ... 5600/6706022 tested (9.20/s, ~202.3h left); undecided=0
  ... 5800/6706022 tested (9.19/s, ~202.5h left); undecided=0
  ... 6000/6706022 tested (9.26/s, ~201.0h left); undecided=0
  ... 6200/6706022 tested (9.14/s, ~203.6h left); undecided=0
  ... 6400/6706022 tested (9.09/s, ~204.7h left); undecided=0
  ... 6600/6706022 tested (9.00/s, ~206.8h left); undecided=0
  ... 6800/6706022 tested (8.95/s, ~207.9h left); undecided=0
  ... 7000/6706022 tested (8.93/s, ~208.3h left); undecided=0
  ... 7200/6706022 tested (8.91/s, ~208.8h left); undecided=0
  ... 7400/6706022 tested (8.96/s, ~207.7h left); undecided=0
  ... 7600/6706022 tested (9.02/s, ~206.2h left); undecided=0
  ... 7800/6706022 tested (9.05/s, ~205.6h left); undecided=0
  ... 8000/6706022 tested (9.03/s, ~206.0h left); undecided=0
  ... 8200/6706022 tested (9.01/s, ~206.5h left); undecided=0
  ... 8400/6706022 tested (9.04/s, ~205.9h left); undecided=0
  ... 8600/6706022 tested (9.11/s, ~204.3h left); undecided=0
  ... 8800/6706022 tested (9.14/s, ~203.5h left); undecided=0
  ... 9000/6706022 tested (9.19/s, ~202.3h left); undecided=0
  ... 9200/6706022 tested (9.25/s, ~201.0h left); undecided=0
  ... 9400/6706022 tested (9.32/s, ~199.7h left); undecided=0
  ... 9600/6706022 tested (9.37/s, ~198.5h left); undecided=0
  ... 9800/6706022 tested (9.37/s, ~198.5h left); undecided=0
  ... 10000/6706022 tested (9.41/s, ~197.7h left); undecided=0
  ... 10200/6706022 tested (9.43/s, ~197.3h left); undecided=0
  ... 10400/6706022 tested (9.42/s, ~197.5h left); undecided=0
  ... 10600/6706022 tested (9.44/s, ~197.1h left); undecided=0
  ... 10800/6706022 tested (9.42/s, ~197.4h left); undecided=0
  ... 11000/6706022 tested (9.37/s, ~198.4h left); undecided=0
  ... 11200/6706022 tested (9.36/s, ~198.7h left); undecided=0
  ... 11400/6706022 tested (9.36/s, ~198.6h left); undecided=0
  ... 11600/6706022 tested (9.37/s, ~198.4h left); undecided=0
  ... 11800/6706022 tested (9.33/s, ~199.2h left); undecided=0
  ... 12000/6706022 tested (9.28/s, ~200.5h left); undecided=0
  ... 12200/6706022 tested (9.26/s, ~200.8h left); undecided=0
  ... 12400/6706022 tested (9.26/s, ~200.8h left); undecided=0
  ... 12600/6706022 tested (9.24/s, ~201.1h left); undecided=0
  ... 12800/6706022 tested (9.25/s, ~201.0h left); undecided=0
  ... 13000/6706022 tested (9.26/s, ~200.7h left); undecided=0
  ... 13200/6706022 tested (9.26/s, ~200.8h left); undecided=0
  ... 13400/6706022 tested (9.25/s, ~201.0h left); undecided=0
  ... 13600/6706022 tested (9.24/s, ~201.2h left); undecided=0
  ... 13800/6706022 tested (9.19/s, ~202.3h left); undecided=0
  ... 14000/6706022 tested (9.13/s, ~203.6h left); undecided=0
  ... 14200/6706022 tested (9.12/s, ~203.9h left); undecided=0
  ... 14400/6706022 tested (9.13/s, ~203.7h left); undecided=0
  ... 14600/6706022 tested (9.16/s, ~202.9h left); undecided=0
  ... 14800/6706022 tested (9.20/s, ~202.1h left); undecided=0
  ... 15000/6706022 tested (9.24/s, ~201.2h left); undecided=0
  ... 15200/6706022 tested (9.29/s, ~200.2h left); undecided=0
  ... 15400/6706022 tested (9.32/s, ~199.3h left); undecided=0
  ... 15600/6706022 tested (9.31/s, ~199.6h left); undecided=0
  ... 15800/6706022 tested (9.30/s, ~199.9h left); undecided=0
  ... 16000/6706022 tested (9.28/s, ~200.2h left); undecided=0
  ... 16200/6706022 tested (9.21/s, ~201.8h left); undecided=0
  ... 16400/6706022 tested (9.14/s, ~203.3h left); undecided=0
