# word=geschenkcheques masks=[(0, 3, 7, 8, 11, 12, 14)] LB=2008 reserve=1 cap=600.0 workers=24
# mask (0, 3, 7, 8, 11, 12, 14) main_const=1724 vfloor=284 (LB=2008)
# enumerating combos (total gross > 284) ...
# 33716 combos>vfloor (capped=False), collected 33716; enum 17s; 0 already in ledger
# ledger: 0 UNSAT, 0 SAT, 0 UNKNOWN, 0 ERROR already; 33716 to test
  ... 200/33716 tested (5.04/s, ~1.8h left); undecided=0
  ... 400/33716 tested (5.36/s, ~1.7h left); undecided=0
  ... 600/33716 tested (5.49/s, ~1.7h left); undecided=0
  ... 800/33716 tested (5.51/s, ~1.7h left); undecided=0
  ... 1000/33716 tested (5.55/s, ~1.6h left); undecided=0
  ... 1200/33716 tested (5.58/s, ~1.6h left); undecided=0
  ... 1400/33716 tested (5.56/s, ~1.6h left); undecided=0
  ... 1600/33716 tested (5.56/s, ~1.6h left); undecided=0
  ... 1800/33716 tested (5.55/s, ~1.6h left); undecided=0
  ... 2000/33716 tested (5.56/s, ~1.6h left); undecided=0
  ... 2200/33716 tested (5.38/s, ~1.6h left); undecided=0
  ... 2400/33716 tested (5.08/s, ~1.7h left); undecided=0
  ... 2600/33716 tested (4.90/s, ~1.8h left); undecided=0
  ... 2800/33716 tested (4.69/s, ~1.8h left); undecided=0
  ... 3000/33716 tested (4.49/s, ~1.9h left); undecided=0
  ... 3200/33716 tested (4.31/s, ~2.0h left); undecided=0
  ... 3400/33716 tested (4.18/s, ~2.0h left); undecided=0
  ... 3600/33716 tested (4.06/s, ~2.1h left); undecided=0
  ... 3800/33716 tested (3.91/s, ~2.1h left); undecided=1
  ... 4000/33716 tested (3.81/s, ~2.2h left); undecided=2
  ... 4200/33716 tested (3.74/s, ~2.2h left); undecided=2
  ... 4400/33716 tested (3.70/s, ~2.2h left); undecided=5
  ... 4600/33716 tested (3.68/s, ~2.2h left); undecided=6
  ... 4800/33716 tested (3.66/s, ~2.2h left); undecided=6
  ... 5000/33716 tested (3.64/s, ~2.2h left); undecided=6
  ... 5200/33716 tested (3.62/s, ~2.2h left); undecided=7
  ... 5400/33716 tested (3.62/s, ~2.2h left); undecided=8
  ... 5600/33716 tested (3.61/s, ~2.2h left); undecided=8
  ... 5800/33716 tested (3.60/s, ~2.2h left); undecided=8
  ... 6000/33716 tested (3.59/s, ~2.1h left); undecided=8
  ... 6200/33716 tested (3.59/s, ~2.1h left); undecided=8
  ... 6400/33716 tested (3.59/s, ~2.1h left); undecided=8
  ... 6600/33716 tested (3.58/s, ~2.1h left); undecided=8
  ... 6800/33716 tested (3.57/s, ~2.1h left); undecided=8
  ... 7000/33716 tested (3.57/s, ~2.1h left); undecided=8
  ... 7200/33716 tested (3.57/s, ~2.1h left); undecided=9
  ... 7400/33716 tested (3.55/s, ~2.1h left); undecided=9
  ... 7600/33716 tested (3.54/s, ~2.0h left); undecided=9
  ... 7800/33716 tested (3.53/s, ~2.0h left); undecided=9
  ... 8000/33716 tested (3.53/s, ~2.0h left); undecided=9
  ... 8200/33716 tested (3.53/s, ~2.0h left); undecided=9
  ... 8400/33716 tested (3.52/s, ~2.0h left); undecided=9
  ... 8600/33716 tested (3.46/s, ~2.0h left); undecided=9
  ... 8800/33716 tested (3.39/s, ~2.0h left); undecided=11
  ... 9000/33716 tested (3.34/s, ~2.1h left); undecided=11
  ... 9200/33716 tested (3.29/s, ~2.1h left); undecided=11
  ... 9400/33716 tested (3.23/s, ~2.1h left); undecided=11
  ... 9600/33716 tested (3.20/s, ~2.1h left); undecided=16
  ... 9800/33716 tested (3.19/s, ~2.1h left); undecided=22
  ... 10000/33716 tested (3.19/s, ~2.1h left); undecided=22
  ... 10200/33716 tested (3.20/s, ~2.0h left); undecided=22
  ... 10400/33716 tested (3.20/s, ~2.0h left); undecided=22
  ... 10600/33716 tested (3.19/s, ~2.0h left); undecided=22
  ... 10800/33716 tested (3.16/s, ~2.0h left); undecided=23
  ... 11000/33716 tested (3.14/s, ~2.0h left); undecided=24
  ... 11200/33716 tested (3.12/s, ~2.0h left); undecided=24
  ... 11400/33716 tested (3.09/s, ~2.0h left); undecided=24
  ... 11600/33716 tested (3.08/s, ~2.0h left); undecided=24
  ... 11800/33716 tested (3.06/s, ~2.0h left); undecided=28
  ... 12000/33716 tested (3.06/s, ~2.0h left); undecided=32
  ... 12200/33716 tested (3.07/s, ~1.9h left); undecided=32
  ... 12400/33716 tested (3.07/s, ~1.9h left); undecided=32
  ... 12600/33716 tested (3.07/s, ~1.9h left); undecided=33
  ... 12800/33716 tested (3.07/s, ~1.9h left); undecided=33
  ... 13000/33716 tested (3.07/s, ~1.9h left); undecided=33
  ... 13200/33716 tested (3.07/s, ~1.9h left); undecided=33
  ... 13400/33716 tested (3.08/s, ~1.8h left); undecided=33
  ... 13600/33716 tested (3.08/s, ~1.8h left); undecided=33
  ... 13800/33716 tested (3.08/s, ~1.8h left); undecided=33
  ... 14000/33716 tested (3.08/s, ~1.8h left); undecided=34
  ... 14200/33716 tested (3.08/s, ~1.8h left); undecided=35
  ... 14400/33716 tested (3.09/s, ~1.7h left); undecided=35
  ... 14600/33716 tested (3.09/s, ~1.7h left); undecided=35
  ... 14800/33716 tested (3.08/s, ~1.7h left); undecided=35
  ... 15000/33716 tested (3.08/s, ~1.7h left); undecided=35
  ... 15200/33716 tested (3.07/s, ~1.7h left); undecided=35
  ... 15400/33716 tested (3.07/s, ~1.7h left); undecided=35
  ... 15600/33716 tested (3.01/s, ~1.7h left); undecided=35
  ... 15800/33716 tested (2.93/s, ~1.7h left); undecided=39
  ... 16000/33716 tested (2.84/s, ~1.7h left); undecided=43
  ... 16200/33716 tested (2.83/s, ~1.7h left); undecided=54
  ... 16400/33716 tested (2.83/s, ~1.7h left); undecided=55
  ... 16600/33716 tested (2.83/s, ~1.7h left); undecided=55
  ... 16800/33716 tested (2.81/s, ~1.7h left); undecided=58
  ... 17000/33716 tested (2.78/s, ~1.7h left); undecided=58
  ... 17200/33716 tested (2.76/s, ~1.7h left); undecided=58
  ... 17400/33716 tested (2.74/s, ~1.7h left); undecided=61
  ... 17600/33716 tested (2.73/s, ~1.6h left); undecided=63
  ... 17800/33716 tested (2.73/s, ~1.6h left); undecided=69
  ... 18000/33716 tested (2.73/s, ~1.6h left); undecided=71
  ... 18200/33716 tested (2.74/s, ~1.6h left); undecided=71
  ... 18400/33716 tested (2.74/s, ~1.6h left); undecided=71
  ... 18600/33716 tested (2.54/s, ~1.7h left); undecided=81
  ... 18800/33716 tested (2.54/s, ~1.6h left); undecided=90
  ... 19000/33716 tested (2.54/s, ~1.6h left); undecided=95
  ... 19200/33716 tested (2.55/s, ~1.6h left); undecided=95
  ... 19400/33716 tested (2.55/s, ~1.6h left); undecided=95
  ... 19600/33716 tested (2.56/s, ~1.5h left); undecided=95
  ... 19800/33716 tested (2.56/s, ~1.5h left); undecided=95
  ... 20000/33716 tested (2.56/s, ~1.5h left); undecided=95
  ... 20200/33716 tested (2.56/s, ~1.5h left); undecided=95
  ... 20400/33716 tested (2.56/s, ~1.4h left); undecided=96
  ... 20600/33716 tested (2.55/s, ~1.4h left); undecided=98
  ... 20800/33716 tested (2.55/s, ~1.4h left); undecided=99
  ... 21000/33716 tested (2.55/s, ~1.4h left); undecided=101
  ... 21200/33716 tested (2.54/s, ~1.4h left); undecided=102
  ... 21400/33716 tested (2.54/s, ~1.3h left); undecided=102
  ... 21600/33716 tested (2.54/s, ~1.3h left); undecided=103
  ... 21800/33716 tested (2.54/s, ~1.3h left); undecided=103
  ... 22000/33716 tested (2.53/s, ~1.3h left); undecided=107
  ... 22200/33716 tested (2.54/s, ~1.3h left); undecided=111
  ... 22400/33716 tested (2.54/s, ~1.2h left); undecided=111
  ... 22600/33716 tested (2.54/s, ~1.2h left); undecided=111
  ... 22800/33716 tested (2.54/s, ~1.2h left); undecided=112
  ... 23000/33716 tested (2.54/s, ~1.2h left); undecided=112
  ... 23200/33716 tested (2.54/s, ~1.1h left); undecided=112
  ... 23400/33716 tested (2.54/s, ~1.1h left); undecided=112
  ... 23600/33716 tested (2.54/s, ~1.1h left); undecided=112
  ... 23800/33716 tested (2.53/s, ~1.1h left); undecided=116
  ... 24000/33716 tested (2.52/s, ~1.1h left); undecided=119
  ... 24200/33716 tested (2.52/s, ~1.0h left); undecided=119
  ... 24400/33716 tested (2.52/s, ~1.0h left); undecided=119
  ... 24600/33716 tested (2.52/s, ~1.0h left); undecided=121
  ... 24800/33716 tested (2.53/s, ~1.0h left); undecided=125
  ... 25000/33716 tested (2.53/s, ~1.0h left); undecided=126
  ... 25200/33716 tested (2.54/s, ~0.9h left); undecided=127
  ... 25400/33716 tested (2.55/s, ~0.9h left); undecided=127
  ... 25600/33716 tested (2.55/s, ~0.9h left); undecided=127
  ... 25800/33716 tested (2.56/s, ~0.9h left); undecided=127
  ... 26000/33716 tested (2.56/s, ~0.8h left); undecided=127
  ... 26200/33716 tested (2.56/s, ~0.8h left); undecided=127
  ... 26400/33716 tested (2.56/s, ~0.8h left); undecided=127
  ... 26600/33716 tested (2.57/s, ~0.8h left); undecided=127
  ... 26800/33716 tested (2.57/s, ~0.7h left); undecided=127
  ... 27000/33716 tested (2.57/s, ~0.7h left); undecided=127
  ... 27200/33716 tested (2.57/s, ~0.7h left); undecided=128
  ... 27400/33716 tested (2.57/s, ~0.7h left); undecided=131
  ... 27600/33716 tested (2.58/s, ~0.7h left); undecided=131
  ... 27800/33716 tested (2.59/s, ~0.6h left); undecided=131
  ... 28000/33716 tested (2.59/s, ~0.6h left); undecided=131
  ... 28200/33716 tested (2.60/s, ~0.6h left); undecided=132
  ... 28400/33716 tested (2.60/s, ~0.6h left); undecided=132
  ... 28600/33716 tested (2.61/s, ~0.5h left); undecided=132
  ... 28800/33716 tested (2.61/s, ~0.5h left); undecided=132
  ... 29000/33716 tested (2.62/s, ~0.5h left); undecided=132
  ... 29200/33716 tested (2.62/s, ~0.5h left); undecided=132
  ... 29400/33716 tested (2.62/s, ~0.5h left); undecided=132
  ... 29600/33716 tested (2.62/s, ~0.4h left); undecided=132
  ... 29800/33716 tested (2.62/s, ~0.4h left); undecided=132
  ... 30000/33716 tested (2.63/s, ~0.4h left); undecided=132
  ... 30200/33716 tested (2.62/s, ~0.4h left); undecided=132
  ... 30400/33716 tested (2.62/s, ~0.4h left); undecided=132
  ... 30600/33716 tested (2.62/s, ~0.3h left); undecided=133
  ... 30800/33716 tested (2.62/s, ~0.3h left); undecided=136
  ... 31000/33716 tested (2.62/s, ~0.3h left); undecided=136
  ... 31200/33716 tested (2.62/s, ~0.3h left); undecided=136
  ... 31400/33716 tested (2.62/s, ~0.2h left); undecided=139
  ... 31600/33716 tested (2.63/s, ~0.2h left); undecided=142
  ... 31800/33716 tested (2.63/s, ~0.2h left); undecided=142
  ... 32000/33716 tested (2.61/s, ~0.2h left); undecided=142
  ... 32200/33716 tested (2.58/s, ~0.2h left); undecided=142
  ... 32400/33716 tested (2.56/s, ~0.1h left); undecided=151
  ... 32600/33716 tested (2.56/s, ~0.1h left); undecided=159
  ... 32800/33716 tested (2.56/s, ~0.1h left); undecided=160
  ... 33000/33716 tested (2.57/s, ~0.1h left); undecided=160
  ... 33200/33716 tested (2.57/s, ~0.1h left); undecided=160
  ... 33400/33716 tested (2.57/s, ~0.0h left); undecided=160
  ... 33600/33716 tested (2.58/s, ~0.0h left); undecided=160
=== mask (0, 3, 7, 8, 11, 12, 14): OPEN {'mask': (0, 3, 7, 8, 11, 12, 14), 'verdict': 'OPEN', 'reason': 'undecided (UNKNOWN/ERROR) combos', 'undecided': 163, 'tested': 33716, 'count': 33716}
=== SUMMARY ===
  mask (0, 3, 7, 8, 11, 12, 14): OPEN {'mask': (0, 3, 7, 8, 11, 12, 14), 'verdict': 'OPEN', 'reason': 'undecided (UNKNOWN/ERROR) combos', 'undecided': 163, 'tested': 33716, 'count': 33716}
=== final LB = 2008
