[06:18:11] === STREAM CERTIFY mask=(0, 3, 7, 9, 11, 13, 14) lb=2010 vfloor=286 shards=20 dir=/home/bob/programming/scrabble4/experiments/results/oracle_parallel/stream_0379111314_lb2010
[06:39:31]   enum: 20M streamed (15624/s)
[07:02:35]   enum: 40M streamed (15016/s)
[07:16:18]   enum: 60M streamed (17206/s)
[07:24:05]   enum: 80M streamed (20236/s)
[07:34:51]   enum: 100M streamed (21739/s)
[07:42:46]   enum: 120M streamed (23645/s)
[07:51:16]   enum: 140M streamed (25069/s)
[07:59:44]   enum: 160M streamed (26261/s)
[08:17:38]   enum: 180M streamed (25115/s)
[08:26:51]   enum: 200M streamed (25908/s)
[08:36:28]   enum: 220M streamed (26517/s)
[08:48:54]   enum: 240M streamed (26540/s)
[09:01:15]   enum: 260M streamed (26573/s)
[09:18:16]   enum: 280M streamed (25913/s)
[09:22:49] enum DONE: count=282299680 streamed=282299680 capped=False
[09:22:49] launched 20 pinbatch shard workers (PINWALL=5s)
[09:23:50]   solve: 11339440/282299680 (187242/s, ~0.4h left)
[09:24:50]   solve: 12442910/282299680 (102673/s, ~0.7h left)
[09:25:51]   solve: 14169729/282299680 (77894/s, ~1.0h left)
[09:26:52]   solve: 16732278/282299680 (68935/s, ~1.1h left)
[09:27:53]   solve: 20260208/282299680 (66712/s, ~1.1h left)
[09:28:54]   solve: 27105207/282299680 (74263/s, ~1.0h left)
[09:29:56]   solve: 31087118/282299680 (72896/s, ~1.0h left)
[09:30:57]   solve: 35343461/282299680 (72406/s, ~0.9h left)
[09:31:59]   solve: 39174970/282299680 (71230/s, ~0.9h left)
[09:33:01]   solve: 43895158/282299680 (71719/s, ~0.9h left)
[09:34:04]   solve: 47356632/282299680 (70234/s, ~0.9h left)
[09:35:06]   solve: 47378892/282299680 (64330/s, ~1.0h left)
[09:36:08]   solve: 47917253/282299680 (59992/s, ~1.1h left)
[09:37:10]   solve: 50666886/282299680 (58839/s, ~1.1h left)
[09:38:13]   solve: 52620589/282299680 (56976/s, ~1.1h left)
[09:39:15]   solve: 52723316/282299680 (53472/s, ~1.2h left)
[09:40:18]   solve: 52875308/282299680 (50432/s, ~1.3h left)
[09:41:20]   solve: 53015274/282299680 (47723/s, ~1.3h left)
[09:42:23]   solve: 53105251/282299680 (45259/s, ~1.4h left)
[09:43:25]   solve: 53171516/282299680 (43025/s, ~1.5h left)
[09:44:28]   solve: 53222249/282299680 (40994/s, ~1.6h left)
[09:45:30]   solve: 53367001/282299680 (39218/s, ~1.6h left)
[09:46:33]   solve: 53585527/282299680 (37645/s, ~1.7h left)
[09:47:35]   solve: 53742662/282299680 (36164/s, ~1.8h left)
[09:48:38]   solve: 54476204/282299680 (35173/s, ~1.8h left)
[09:49:41]   solve: 55061505/282299680 (34168/s, ~1.8h left)
[09:50:44]   solve: 55298037/282299680 (33029/s, ~1.9h left)
[09:51:46]   solve: 55340703/282299680 (31865/s, ~2.0h left)
[09:52:49]   solve: 55400039/282299680 (30790/s, ~2.0h left)
[09:53:51]   solve: 55447050/282299680 (29779/s, ~2.1h left)
[09:54:54]   solve: 55488620/282299680 (28830/s, ~2.2h left)
[09:55:57]   solve: 55527630/282299680 (27941/s, ~2.3h left)
[09:56:59]   solve: 55568437/282299680 (27106/s, ~2.3h left)
[09:58:02]   solve: 55621951/282299680 (26327/s, ~2.4h left)
[09:59:05]   solve: 55709218/282299680 (25609/s, ~2.5h left)
[10:00:07]   solve: 55775390/282299680 (24921/s, ~2.5h left)
[10:01:10]   solve: 55867205/282299680 (24282/s, ~2.6h left)
[10:02:13]   solve: 55938937/282299680 (23668/s, ~2.7h left)
