DIMS 7 7 8 26 2
COUNTS 1:5 2:2 3:2 4:5 5:17 6:2 7:3 8:1 9:4 10:2 11:3 12:3 13:3 14:10 15:6 16:1 17:1 18:5 19:5 20:5 21:3 22:2 23:2 24:1 25:1 26:2
SCORES 1:1 2:3 3:5 4:2 5:1 6:4 7:3 8:4 9:1 10:4 11:3 12:3 13:3 14:1 15:1 16:3 17:10 18:2 19:2 20:2 21:4 22:4 23:5 24:8 25:8 26:4
PREPLACED 1,0,6 3,0,1 5,0,16
NONSCORING 1 3 5
DICT experiments/xtests/dict_7.txt
NSCORING 4
SCOL 0 3 25
WORDV 15 11 1
WORDV 9 1 9
WORDV 27 10 21
WORDV 9 9 15
WORDV 18 26 5
WORDV 18 11 19
WORDV 15 1 12
WORDV 12 20 5
WORDV 15 7 1
WORDV 12 9 19
WORDV 12 18 1
WORDV 9 14 1
WORDV 12 1 18
WORDV 15 1 13
WORDV 12 4 5
WORDV 12 18 5
WORDV 18 22 1
WORDV 18 8 1
WORDV 15 16 1
WORDV 12 1 19
WORDV 18 6 1
WORDV 15 2 15
WORDV 15 13 1
WORDV 12 1 20
WORDV 12 1 4
SCOL 2 3 29
WORDV 7 5 18
WORDV 7 5 20
WORDV 8 5 12
WORDV 8 1 12
WORDV 7 5 19
WORDV 13 21 23
WORDV 8 15 16
WORDV 12 21 8
WORDV 6 1 9
WORDV 11 21 11
WORDV 8 5 7
WORDV 7 1 4
WORDV 8 1 13
WORDV 8 15 13
WORDV 9 1 6
WORDV 8 5 2
WORDV 6 5 14
WORDV 7 9 20
WORDV 7 9 19
WORDV 7 1 18
WORDV 8 9 11
WORDV 11 21 16
WORDV 7 15 19
WORDV 6 15 9
WORDV 9 15 6
WORDV 10 21 20
WORDV 9 21 9
WORDV 13 5 24
WORDV 6 5 9
SCOL 4 3 30
WORDV 8 8 15
WORDV 8 21 9
WORDV 6 1 4
WORDV 5 9 5
WORDV 7 9 11
WORDV 6 5 18
WORDV 5 5 14
WORDV 6 1 18
WORDV 6 1 19
WORDV 8 8 9
WORDV 9 21 20
WORDV 7 15 16
WORDV 6 9 19
WORDV 10 21 16
WORDV 8 15 6
WORDV 5 15 14
WORDV 8 1 6
WORDV 7 1 12
WORDV 5 9 14
WORDV 7 5 12
WORDV 7 5 7
WORDV 6 18 5
WORDV 6 1 20
WORDV 10 21 11
WORDV 7 15 13
WORDV 6 19 9
WORDV 11 21 8
WORDV 6 9 20
WORDV 6 5 20
WORDV 6 15 19
SCOL 6 3 22
WORDV 12 20 5
WORDV 15 7 15
WORDV 15 9 11
WORDV 12 18 5
WORDV 15 16 1
WORDV 15 16 9
WORDV 12 18 1
WORDV 15 2 9
WORDV 12 4 5
WORDV 12 9 20
WORDV 18 1 21
WORDV 24 8 13
WORDV 9 15 14
WORDV 21 23 1
WORDV 15 16 15
WORDV 12 9 19
WORDV 12 5 20
WORDV 12 5 18
WORDV 27 21 8
WORDV 9 5 14
WORDV 15 5 12
WORDV 18 22 1
TRUTH MAXSCORE 60
