DIMS 7 7 8 26 2
COUNTS 1:6 2:2 3:2 4:5 5:16 6:2 7:3 8:2 9:3 10:2 11:3 12:3 13:3 14:10 15:5 16:2 17:1 18:5 19:5 20:5 21:3 22:2 23:2 24:1 25:1 26:2
SCORES 1:1 2:3 3:5 4:2 5:1 6:4 7:3 8:4 9:1 10:4 11:3 12:3 13:3 14:1 15:1 16:3 17:10 18:2 19:2 20:2 21:4 22:4 23:5 24:8 25:8 26:4
PREPLACED 1,0,19 3,0,12 5,0,18
NONSCORING 1 3 5
DICT experiments/xtests/dict_7.txt
NSCORING 4
SCOL 0 3 7
WORDV 15 16 1
WORDV 12 5 18
WORDV 9 14 15
WORDV 15 5 12
WORDV 12 5 20
WORDV 9 15 14
WORDV 18 22 1
SCOL 2 3 23
WORDV 6 8 15
WORDV 5 12 1
WORDV 6 11 19
WORDV 5 16 9
WORDV 6 5 8
WORDV 3 9 15
WORDV 4 18 5
WORDV 5 16 1
WORDV 3 5 9
WORDV 7 21 20
WORDV 3 5 14
WORDV 6 15 8
WORDV 5 13 5
WORDV 5 13 1
WORDV 5 2 9
WORDV 4 5 18
WORDV 5 7 5
WORDV 5 13 9
WORDV 6 8 1
WORDV 5 15 13
WORDV 3 15 9
WORDV 4 4 5
WORDV 8 8 13
SCOL 4 3 22
WORDV 4 20 5
WORDV 5 7 15
WORDV 5 9 11
WORDV 4 18 5
WORDV 5 16 1
WORDV 5 16 9
WORDV 4 18 1
WORDV 5 2 9
WORDV 4 4 5
WORDV 4 9 20
WORDV 6 1 21
WORDV 8 8 13
WORDV 3 15 14
WORDV 7 23 1
WORDV 5 16 15
WORDV 4 9 19
WORDV 4 5 20
WORDV 4 5 18
WORDV 9 21 8
WORDV 3 5 14
WORDV 5 5 12
WORDV 6 22 1
SCOL 6 3 22
WORDV 12 20 5
WORDV 15 7 15
WORDV 15 9 11
WORDV 12 18 5
WORDV 15 16 1
WORDV 15 16 9
WORDV 12 18 1
WORDV 15 2 9
WORDV 12 4 5
WORDV 12 9 20
WORDV 18 1 21
WORDV 24 8 13
WORDV 9 15 14
WORDV 21 23 1
WORDV 15 16 15
WORDV 12 9 19
WORDV 12 5 20
WORDV 12 5 18
WORDV 27 21 8
WORDV 9 5 14
WORDV 15 5 12
WORDV 18 22 1
TRUTH MAXSCORE 43
