DIMS 7 7 8 26 2
COUNTS 1:6 2:2 3:2 4:5 5:18 6:2 7:3 8:2 9:4 10:2 11:3 12:2 13:3 14:9 15:6 16:2 17:1 18:4 19:5 20:4 21:3 22:2 23:2 24:1 25:1 26:2
SCORES 1:1 2:3 3:5 4:2 5:1 6:4 7:3 8:4 9:1 10:4 11:3 12:3 13:3 14:1 15:1 16:3 17:10 18:2 19:2 20:2 21:4 22:4 23:5 24:8 25:8 26:4
PREPLACED 1,0,15 3,0,5 5,0,5
NONSCORING 1 3 5
DICT experiments/xtests/dict_7.txt
NSCORING 4
SCOL 0 3 27
WORDV 18 15 19
WORDV 15 9 5
WORDV 21 5 7
WORDV 21 1 13
WORDV 24 21 9
WORDV 18 5 19
WORDV 21 9 11
WORDV 30 21 11
WORDV 24 1 6
WORDV 21 1 12
WORDV 15 9 15
WORDV 36 5 24
WORDV 18 1 20
WORDV 21 1 2
WORDV 21 15 13
WORDV 36 21 23
WORDV 18 1 18
WORDV 15 5 9
WORDV 18 9 4
WORDV 18 9 20
WORDV 21 5 2
WORDV 18 5 20
WORDV 27 21 20
WORDV 18 9 19
WORDV 18 1 19
WORDV 21 5 12
WORDV 24 15 6
SCOL 2 3 30
WORDV 5 15 19
WORDV 5 1 20
WORDV 8 21 20
WORDV 5 19 1
WORDV 6 1 13
WORDV 6 5 12
WORDV 7 1 21
WORDV 5 5 19
WORDV 4 15 14
WORDV 5 5 20
WORDV 4 5 14
WORDV 5 1 18
WORDV 6 15 16
WORDV 5 1 19
WORDV 7 15 6
WORDV 5 5 18
WORDV 7 10 1
WORDV 7 21 9
WORDV 6 1 12
WORDV 7 1 6
WORDV 6 9 11
WORDV 11 5 24
WORDV 5 9 20
WORDV 9 21 11
WORDV 5 18 9
WORDV 4 9 5
WORDV 4 9 14
WORDV 6 1 2
WORDV 5 18 1
WORDV 5 9 19
SCOL 4 3 28
WORDV 7 8 15
WORDV 6 5 7
WORDV 4 9 15
WORDV 5 1 19
WORDV 6 15 16
WORDV 8 21 20
WORDV 6 1 12
WORDV 5 5 19
WORDV 11 21 23
WORDV 9 21 11
WORDV 9 21 16
WORDV 6 9 11
WORDV 4 1 9
WORDV 5 9 20
WORDV 6 1 13
WORDV 4 5 14
WORDV 4 9 1
WORDV 7 15 6
WORDV 5 9 19
WORDV 6 5 2
WORDV 5 1 4
WORDV 7 1 6
WORDV 11 5 24
WORDV 4 5 9
WORDV 7 21 9
WORDV 5 1 20
WORDV 5 15 19
WORDV 6 5 12
SCOL 6 3 17
WORDV 21 21 20
WORDV 15 5 2
WORDV 24 21 11
WORDV 15 5 7
WORDV 12 5 19
WORDV 15 5 12
WORDV 12 1 18
WORDV 15 1 13
WORDV 9 5 9
WORDV 12 1 20
WORDV 9 15 14
WORDV 15 9 11
WORDV 12 9 19
WORDV 12 5 20
WORDV 15 15 16
WORDV 12 1 19
WORDV 12 15 19
TRUTH MAXSCORE 69
