DIMS 7 7 8 26 2
COUNTS 1:6 2:2 3:2 4:5 5:17 6:1 7:3 8:2 9:3 10:2 11:3 12:3 13:3 14:10 15:6 16:2 17:1 18:5 19:4 20:5 21:3 22:2 23:2 24:1 25:1 26:2
SCORES 1:1 2:3 3:5 4:2 5:1 6:4 7:3 8:4 9:1 10:4 11:3 12:3 13:3 14:1 15:1 16:3 17:10 18:2 19:2 20:2 21:4 22:4 23:5 24:8 25:8 26:4
PREPLACED 1,0,11 3,0,6 5,0,12
NONSCORING 1 3 5
DICT experiments/xtests/dict_7.txt
NSCORING 4
SCOL 0 3 19
WORDV 12 15 14
WORDV 18 5 12
WORDV 18 11 1
WORDV 18 9 11
WORDV 18 12 1
WORDV 15 1 18
WORDV 15 15 19
WORDV 15 9 19
WORDV 24 23 1
WORDV 12 5 14
WORDV 15 5 20
WORDV 18 15 13
WORDV 21 15 6
WORDV 15 1 19
WORDV 18 15 16
WORDV 18 16 1
WORDV 21 21 9
WORDV 18 13 1
WORDV 27 21 16
SCOL 2 3 7
WORDV 5 16 1
WORDV 4 5 18
WORDV 3 14 15
WORDV 5 5 12
WORDV 4 5 20
WORDV 3 15 14
WORDV 6 22 1
SCOL 4 3 15
WORDV 8 15 13
WORDV 7 9 20
WORDV 8 9 11
WORDV 6 9 14
WORDV 9 1 8
WORDV 11 21 11
WORDV 7 1 19
WORDV 7 1 20
WORDV 7 9 19
WORDV 8 5 12
WORDV 10 21 20
WORDV 7 1 18
WORDV 8 15 16
WORDV 7 5 19
WORDV 7 18 1
SCOL 6 3 22
WORDV 12 20 5
WORDV 15 7 15
WORDV 15 9 11
WORDV 12 18 5
WORDV 15 16 1
WORDV 15 16 9
WORDV 12 18 1
WORDV 15 2 9
WORDV 12 4 5
WORDV 12 9 20
WORDV 18 1 21
WORDV 24 8 13
WORDV 9 15 14
WORDV 21 23 1
WORDV 15 16 15
WORDV 12 9 19
WORDV 12 5 20
WORDV 12 5 18
WORDV 27 21 8
WORDV 9 5 14
WORDV 15 5 12
WORDV 18 22 1
TRUTH MAXSCORE 55
