DIMS 7 7 8 26 2
COUNTS 1:6 2:2 3:2 4:5 5:17 6:1 7:3 8:2 9:3 10:2 11:3 12:3 13:3 14:10 15:6 16:2 17:1 18:5 19:4 20:5 21:3 22:2 23:2 24:1 25:1 26:2
SCORES 1:1 2:3 3:5 4:2 5:1 6:4 7:3 8:4 9:1 10:4 11:3 12:3 13:3 14:1 15:1 16:3 17:10 18:2 19:2 20:2 21:4 22:4 23:5 24:8 25:8 26:4
PREPLACED 1,0,11 3,0,6 5,0,12
NONSCORING 1 3 5
DICT experiments/xtests/dict_7.txt
NSCORING 4
SCOL 0 4 154
WORDV 30 20 21 20
WORDV 24 20 1 11
WORDV 21 14 1 11
WORDV 30 5 12 6
WORDV 30 12 9 10
WORDV 18 20 5 14
WORDV 24 20 1 12
WORDV 27 15 6 20
WORDV 21 11 9 14
WORDV 27 12 5 13
WORDV 18 1 20 5
WORDV 27 12 1 7
WORDV 21 1 12 5
WORDV 18 20 15 1
WORDV 18 9 14 20
WORDV 33 20 21 2
WORDV 24 12 1 20
WORDV 18 20 5 5
WORDV 24 13 5 20
WORDV 33 11 21 19
WORDV 42 12 21 23
WORDV 21 14 15 11
WORDV 24 20 9 16
WORDV 27 8 9 20
WORDV 24 20 1 7
WORDV 27 12 1 2
WORDV 21 15 13 1
WORDV 33 12 21 19
WORDV 24 12 15 20
WORDV 30 16 21 9
WORDV 27 13 1 11
WORDV 30 11 9 6
WORDV 21 14 9 16
WORDV 18 5 18 1
WORDV 21 20 5 20
WORDV 33 20 21 11
WORDV 21 20 1 19
WORDV 27 12 15 11
WORDV 36 21 12 11
WORDV 24 13 15 19
WORDV 24 16 1 20
WORDV 24 20 1 13
WORDV 21 9 5 16
WORDV 30 8 9 16
WORDV 18 15 14 19
WORDV 33 21 16 20
WORDV 24 16 15 20
WORDV 21 14 5 2
WORDV 30 21 9 12
WORDV 21 1 18 20
WORDV 18 5 14 20
WORDV 24 20 15 12
WORDV 27 14 21 19
WORDV 18 5 9 19
WORDV 21 20 1 20
WORDV 30 13 5 21
WORDV 21 12 5 5
WORDV 24 20 15 11
WORDV 15 14 5 5
WORDV 15 1 1 9
WORDV 18 5 14 19
WORDV 21 20 5 18
WORDV 27 11 9 16
WORDV 24 12 9 20
WORDV 33 14 21 6
WORDV 27 16 9 11
WORDV 36 16 21 12
WORDV 21 15 5 11
WORDV 21 16 9 5
WORDV 24 16 9 20
WORDV 18 9 5 18
WORDV 30 14 21 12
WORDV 21 14 9 11
WORDV 24 20 1 16
WORDV 27 11 15 12
WORDV 30 3 1 20
WORDV 21 14 5 12
WORDV 21 1 11 9
WORDV 33 3 1 13
WORDV 21 16 1 14
WORDV 24 20 15 16
WORDV 21 1 1 13
WORDV 24 13 9 19
WORDV 27 12 1 16
WORDV 24 20 9 11
WORDV 30 12 15 6
WORDV 24 20 5 13
WORDV 21 16 9 14
WORDV 27 16 9 12
WORDV 27 21 9 20
WORDV 21 14 5 16
WORDV 27 12 5 11
WORDV 27 12 9 11
WORDV 27 12 9 16
WORDV 33 10 5 21
WORDV 27 13 5 11
WORDV 24 1 11 19
WORDV 45 20 25 16
WORDV 27 12 1 11
WORDV 27 16 5 11
WORDV 21 16 15 14
WORDV 30 10 15 11
WORDV 18 14 15 18
WORDV 21 14 1 16
WORDV 27 11 9 13
WORDV 24 12 9 19
WORDV 18 14 1 18
WORDV 27 20 15 6
WORDV 36 20 21 6
WORDV 27 1 12 16
WORDV 27 12 15 13
WORDV 24 16 1 19
WORDV 24 13 1 19
WORDV 21 1 7 1
WORDV 21 12 5 9
WORDV 27 10 1 19
WORDV 21 14 5 11
WORDV 33 23 1 16
WORDV 27 13 1 12
WORDV 24 14 5 21
WORDV 30 16 9 10
WORDV 27 12 1 13
WORDV 27 20 1 6
WORDV 24 1 22 5
WORDV 33 20 21 12
WORDV 27 12 5 7
WORDV 27 9 10 19
WORDV 24 16 5 18
WORDV 36 13 21 12
WORDV 24 16 1 18
WORDV 21 20 1 18
WORDV 21 16 5 14
WORDV 27 16 5 12
WORDV 21 14 15 12
WORDV 21 20 9 20
WORDV 30 8 15 16
WORDV 21 15 16 9
WORDV 30 12 5 6
WORDV 30 10 1 16
WORDV 21 5 20 19
WORDV 24 20 5 12
WORDV 21 15 12 1
WORDV 27 16 1 11
WORDV 27 13 15 11
WORDV 24 11 9 19
WORDV 27 8 15 20
WORDV 30 23 1 19
WORDV 27 9 13 16
WORDV 21 1 19 20
WORDV 24 15 8 15
WORDV 24 16 5 20
WORDV 24 12 5 20
WORDV 18 1 18 1
