DIMS 7 7 8 26 2
COUNTS 1:6 2:2 3:2 4:5 5:18 6:2 7:3 8:2 9:4 10:2 11:3 12:3 13:3 14:10 15:5 16:1 17:1 18:5 19:4 20:4 21:3 22:2 23:2 24:1 25:1 26:2
SCORES 1:1 2:3 3:5 4:2 5:1 6:4 7:3 8:4 9:1 10:4 11:3 12:3 13:3 14:1 15:1 16:3 17:10 18:2 19:2 20:2 21:4 22:4 23:5 24:8 25:8 26:4
PREPLACED 1,0,21 3,0,16 5,0,18
NONSCORING 1 3 5
DICT experiments/xtests/dict_7.txt
NSCORING 4
SCOL 0 3 19
WORDV 12 15 14
WORDV 18 5 12
WORDV 18 11 1
WORDV 18 9 11
WORDV 18 12 1
WORDV 15 1 18
WORDV 15 15 19
WORDV 15 9 19
WORDV 24 23 1
WORDV 12 5 14
WORDV 15 5 20
WORDV 18 15 13
WORDV 21 15 6
WORDV 15 1 19
WORDV 18 15 16
WORDV 18 16 1
WORDV 21 21 9
WORDV 18 13 1
WORDV 27 21 16
SCOL 2 3 30
WORDV 8 8 15
WORDV 8 21 9
WORDV 6 1 4
WORDV 5 9 5
WORDV 7 9 11
WORDV 6 5 18
WORDV 5 5 14
WORDV 6 1 18
WORDV 6 1 19
WORDV 8 8 9
WORDV 9 21 20
WORDV 7 15 16
WORDV 6 9 19
WORDV 10 21 16
WORDV 8 15 6
WORDV 5 15 14
WORDV 8 1 6
WORDV 7 1 12
WORDV 5 9 14
WORDV 7 5 12
WORDV 7 5 7
WORDV 6 18 5
WORDV 6 1 20
WORDV 10 21 11
WORDV 7 15 13
WORDV 6 19 9
WORDV 11 21 8
WORDV 6 9 20
WORDV 6 5 20
WORDV 6 15 19
SCOL 4 3 23
WORDV 6 8 15
WORDV 5 12 1
WORDV 6 11 19
WORDV 5 16 9
WORDV 6 5 8
WORDV 3 9 15
WORDV 4 18 5
WORDV 5 16 1
WORDV 3 5 9
WORDV 7 21 20
WORDV 3 5 14
WORDV 6 15 8
WORDV 5 13 5
WORDV 5 13 1
WORDV 5 2 9
WORDV 4 5 18
WORDV 5 7 5
WORDV 5 13 9
WORDV 6 8 1
WORDV 5 15 13
WORDV 3 15 9
WORDV 4 4 5
WORDV 8 8 13
SCOL 6 3 30
WORDV 15 15 19
WORDV 15 1 20
WORDV 24 21 20
WORDV 15 19 1
WORDV 18 1 13
WORDV 18 5 12
WORDV 21 1 21
WORDV 15 5 19
WORDV 12 15 14
WORDV 15 5 20
WORDV 12 5 14
WORDV 15 1 18
WORDV 18 15 16
WORDV 15 1 19
WORDV 21 15 6
WORDV 15 5 18
WORDV 21 10 1
WORDV 21 21 9
WORDV 18 1 12
WORDV 21 1 6
WORDV 18 9 11
WORDV 33 5 24
WORDV 15 9 20
WORDV 27 21 11
WORDV 15 18 9
WORDV 12 9 5
WORDV 12 9 14
WORDV 18 1 2
WORDV 15 18 1
WORDV 15 9 19
TRUTH MAXSCORE 69
