DIMS 7 7 8 26 0
COUNTS 1:1 2:1 3:1 4:1 5:4 6:1 7:1 8:1 9:1 10:1 11:1 12:1 13:1 14:1 15:0 16:0 17:1 18:0 19:1 20:1 21:1 22:1 23:1 24:1 25:1 26:1
SCORES 1:1 2:3 3:5 4:2 5:1 6:4 7:3 8:4 9:1 10:4 11:3 12:3 13:3 14:1 15:1 16:3 17:10 18:2 19:2 20:2 21:4 22:4 23:5 24:8 25:8 26:4
PREPLACED 1,0,1 3,0,4 5,0,5
NONSCORING 1 3 5
DICT experiments/xtests/dict_7.txt
NSCORING 4
SCOL 0 4 139
WORDV 24 1 1 11
WORDV 30 8 9 19
WORDV 24 12 5 9
WORDV 21 5 9 19
WORDV 21 15 5 4
WORDV 24 18 5 19
WORDV 24 5 11 5
WORDV 21 5 14 20
WORDV 27 12 5 20
WORDV 33 9 10 12
WORDV 33 21 9 12
WORDV 30 8 15 19
WORDV 27 18 15 16
WORDV 39 12 21 11
WORDV 18 15 15 9
WORDV 27 19 1 11
WORDV 24 12 5 5
WORDV 27 18 15 12
WORDV 24 15 14 11
WORDV 30 21 18 5
WORDV 18 5 5 14
WORDV 18 15 5 14
WORDV 24 1 11 9
WORDV 21 9 14 20
WORDV 24 15 18 20
WORDV 21 15 14 19
WORDV 24 18 15 19
WORDV 21 18 5 9
WORDV 39 12 21 7
WORDV 24 15 16 9
WORDV 21 15 14 20
WORDV 21 15 15 18
WORDV 24 15 18 19
WORDV 21 18 5 5
WORDV 30 18 5 6
WORDV 24 9 5 12
WORDV 27 8 15 5
WORDV 30 21 9 20
WORDV 18 1 1 9
WORDV 24 1 1 16
WORDV 24 5 5 12
WORDV 24 1 1 12
WORDV 24 1 19 20
WORDV 21 1 1 19
WORDV 27 12 1 19
WORDV 27 18 15 7
WORDV 27 18 1 13
WORDV 21 5 18 5
WORDV 24 9 14 11
WORDV 24 15 11 5
WORDV 27 1 18 11
WORDV 24 5 12 5
WORDV 30 1 6 19
WORDV 39 15 3 8
WORDV 24 9 16 1
WORDV 30 12 5 11
WORDV 27 1 18 7
WORDV 33 1 3 20
WORDV 30 1 6 20
WORDV 21 1 9 19
WORDV 27 12 15 20
WORDV 21 1 1 20
WORDV 36 18 21 12
WORDV 24 1 2 15
WORDV 27 1 12 20
WORDV 30 12 15 11
WORDV 24 9 5 11
WORDV 24 12 9 5
WORDV 24 5 5 11
WORDV 21 1 18 5
WORDV 21 1 19 15
WORDV 30 1 12 13
WORDV 27 18 9 13
WORDV 33 9 10 11
WORDV 27 18 1 12
WORDV 30 12 1 11
WORDV 30 1 12 16
WORDV 21 15 18 5
WORDV 21 1 18 1
WORDV 18 5 15 14
WORDV 39 21 21 18
WORDV 18 9 15 14
WORDV 21 1 9 18
WORDV 27 12 1 20
WORDV 21 5 14 19
WORDV 27 15 5 8
WORDV 21 9 5 18
WORDV 21 15 5 18
WORDV 42 8 21 2
WORDV 24 18 1 20
WORDV 27 14 5 21
WORDV 24 9 5 16
WORDV 27 1 12 19
WORDV 21 9 14 19
WORDV 21 1 20 5
WORDV 27 5 12 19
WORDV 21 1 1 18
WORDV 24 19 9 19
WORDV 27 18 1 11
WORDV 36 12 21 19
WORDV 21 15 15 20
WORDV 24 15 12 5
WORDV 27 1 11 19
WORDV 30 9 13 16
WORDV 21 5 5 20
WORDV 21 5 5 18
WORDV 30 18 15 6
WORDV 24 15 15 11
WORDV 27 5 7 20
WORDV 30 1 3 5
WORDV 30 12 15 7
WORDV 33 12 15 6
WORDV 36 18 21 16
WORDV 30 12 1 7
WORDV 36 21 16 19
WORDV 30 18 9 10
WORDV 24 1 16 1
WORDV 24 18 15 20
WORDV 21 18 9 15
WORDV 27 18 9 12
WORDV 27 15 18 11
WORDV 30 15 6 20
WORDV 27 18 9 11
WORDV 24 15 7 5
WORDV 24 5 20 19
WORDV 24 15 15 7
WORDV 30 5 21 18
WORDV 24 1 12 5
WORDV 33 18 21 20
WORDV 24 1 18 20
WORDV 27 18 5 16
WORDV 33 21 20 19
WORDV 27 18 5 7
WORDV 24 1 20 19
WORDV 21 9 5 20
WORDV 39 21 12 11
WORDV 18 1 1 14
WORDV 27 15 5 6
WORDV 18 5 14 5
SCOL 2 2 3
WORDV 2 1
WORDV 5 21
WORDV 2 15
SCOL 4 5 70
WORDV 12 12 9 10 11
WORDV 9 13 5 7 1
WORDV 9 14 5 21 19
WORDV 10 16 18 9 12
WORDV 9 14 1 6 19
WORDV 9 22 5 14 20
WORDV 8 16 5 14 20
WORDV 8 2 9 1 19
WORDV 11 16 18 9 10
WORDV 9 16 1 18 20
WORDV 10 16 18 15 12
WORDV 5 5 14 5 14
WORDV 8 12 9 5 20
WORDV 9 16 18 15 20
WORDV 8 16 5 14 19
WORDV 14 3 21 12 9
WORDV 7 18 1 14 20
WORDV 9 5 22 5 18
WORDV 6 14 5 5 18
WORDV 8 2 15 5 19
WORDV 8 12 9 5 19
WORDV 7 16 5 14 5
WORDV 9 8 1 1 20
WORDV 8 18 1 14 7
WORDV 7 5 11 5 14
WORDV 11 16 12 1 11
WORDV 8 2 5 5 19
WORDV 8 2 5 18 5
WORDV 9 12 5 4 19
WORDV 10 22 5 18 19
WORDV 8 2 5 5 20
WORDV 7 5 14 9 7
WORDV 10 16 12 1 20
WORDV 7 1 19 5 19
WORDV 7 5 18 15 19
WORDV 6 14 5 5 20
WORDV 7 18 5 5 18
WORDV 8 22 5 14 5
WORDV 9 2 5 18 19
WORDV 12 21 23 5 14
WORDV 10 22 9 19 20
WORDV 8 2 5 20 5
WORDV 10 16 12 1 19
WORDV 8 5 20 19 20
WORDV 8 13 5 14 20
WORDV 10 22 1 1 12
WORDV 9 16 1 1 11
WORDV 9 11 18 1 19
WORDV 9 16 1 11 5
WORDV 10 26 9 14 7
WORDV 9 11 5 18 19
WORDV 10 22 1 12 5
WORDV 7 18 5 18 5
WORDV 13 21 23 5 18
WORDV 9 16 1 1 12
WORDV 10 16 12 5 20
WORDV 8 16 5 9 19
WORDV 7 13 9 14 1
WORDV 8 16 15 5 19
WORDV 10 16 5 7 20
WORDV 9 12 1 12 1
WORDV 13 12 9 10 6
WORDV 8 16 5 5 20
WORDV 7 16 5 5 14
WORDV 9 16 12 5 9
WORDV 10 4 5 21 18
WORDV 7 19 9 14 20
WORDV 7 5 20 5 18
WORDV 7 5 20 19 5
WORDV 8 13 15 5 19
SCOL 6 3 28
WORDV 18 1 12
WORDV 18 5 12
WORDV 12 9 1
WORDV 24 21 20
WORDV 27 21 16
WORDV 12 1 9
WORDV 18 5 2
WORDV 33 21 23
WORDV 15 1 4
WORDV 15 5 19
WORDV 21 1 6
WORDV 18 5 7
WORDV 12 9 15
WORDV 21 8 15
WORDV 12 5 14
WORDV 21 15 6
WORDV 15 9 19
WORDV 12 5 9
WORDV 18 9 11
WORDV 18 15 16
WORDV 21 21 9
WORDV 18 1 13
WORDV 15 15 19
WORDV 15 9 20
WORDV 33 5 24
WORDV 27 21 11
WORDV 15 1 19
WORDV 15 1 20
TRUTH MAXSCORE_UNSAT
